id,cases
1,27
2,27
3,27
4,44
5,44
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,60
15,60
16,61
17,61
18,66
19,83
20,219
21,239
22,392
23,534
24,631
25,897
26,1350
27,2023
28,2820
29,4587
30,6067
31,7823
32,9824
33,11946
34,14554
35,17372
36,20615
37,24523
38,28274
39,31492
40,34934
41,37552
42,40544
43,43106
44,45178
45,60329
46,64544
47,67104
48,69266
49,71333
50,73328
51,75192
52,75724
53,76720
54,77805
55,78814
56,79337
57,80130
58,80997
59,82111
60,83381
61,85237
62,87061
63,89147
64,91001
65,93310
66,95646
67,98705
68,102842
69,106812
70,110984
71,115746
72,120832
73,128670
74,138128
75,148544
76,160775
77,173280
78,187486
79,204421
80,224618
81,255698
82,287620
83,321828
84,356230
85,400559
86,442984
87,496652
88,557677
89,622655
90,685562
91,742902
92,807308
93,881922
94,959399
95,1036805
96,1118640
97,1203896
98,1270226
99,1343209
100,1420217
101,1505214
102,1592552
103,1682159
104,1757539
105,1825938
106,1890681
107,1967194
108,2045429
109,2129352
110,2211118
111,2290755
112,2361494
113,2435161
114,2521664
115,2587968
116,2666447
117,2739270
118,2839189
119,2921027
120,2986572
121,3058772
122,3137464
123,3222952
124,3311515
125,3392405
126,3469545
127,3546008
128,3624530
129,3712043
130,3804388
131,3893541
132,3982532
133,4057348
134,4126975
135,4213033
136,4299232
137,4395791
138,4492947
139,4585994
140,4665704
141,4751875
142,4847166
143,4950418
144,5058237
145,5164142
146,5264146
147,5357362
148,5446098
149,5539730
150,5642400
151,5760768
152,5882813
153,6010955
154,6117835
155,6217755
156,6330016
157,6456696
158,6583661
159,6716758
160,6842921
161,6958136
162,7063483
163,7188576
164,7322883
165,7459219
166,7603912
167,7737539
168,7859000
169,7977579
170,8118786
171,8295432
172,8433869
173,8612971
174,8772590
175,8901467
176,9037796
177,9202283
178,9377066
179,9556094
180,9744809
181,9926082
182,10085870
183,10245831
184,10437897
185,10638829
186,10847714
187,11053325
188,11244025
189,11421989
190,11597659
191,11804606
192,12020093
193,12245381
194,12477038
195,12694724
196,12890117
197,13079321
198,13302877
199,13534780
200,13789275
201,14043822
202,14273795
203,14483129
204,14684529
205,14924206
206,15205880
207,15482211
208,15766099
209,16025585
210,16257403
211,16469638
212,16713258
213,17011356
214,17301803
215,17580703
216,17848021
217,18071725
218,18276792
219,18532290
220,18808913
221,19095075
222,19371087
223,19639204
224,19868624
225,20088954
226,20350005
227,20638989
228,20925874
229,21215137
230,21474437
231,21706551
232,21706551
233,21901632
234,22151281


